name,description,topics,languages,last_updated,watchers,forks,stars,branches,tags
dotnet/coreclr,"CoreCLR is the runtime for .NET Core. It includes the garbage collector, JIT compiler, primitive data types and low-level classes.","['c-sharp', 'runtime', 'dotnet', 'dotnetcore', 'coreclr', 'jit', 'dotnet-core', 'corefx']",[],"Jan 31, 2020",923,2.8k,12.6k,27,171
dotnet/corefx,This repo is used for servicing PR's for .NET Core 2.1 and 3.1. Please visit us at https://github.com/dotnet/runtime,"['microsoft', 'csharp', 'dotnet', 'dotnetcore', 'coreclr', 'dotnet-core', 'corefx']",[],"Feb 1, 2020",1.4k,5.3k,17.9k,19,174
dotnet/hotreload-utils,Utilities for .NET hot reload,[],"['PowerShell: 46.1%', 'Shell: 30.4%', 'C#: 20.4%', 'CMake: 3.0%', 'Batchfile: 0.1%']",,43,8,18,1,0
dotnet/sourcelink,"Source Link enables a great source debugging experience for your users, by adding source control metadata to your built assets",[],"['C#: 69.2%', 'PowerShell: 17.7%', 'Shell: 11.8%', 'CMake: 1.2%', 'Batchfile: 0.1%']","Feb 1, 2022",265,97,960,7,9
dotnet/symstore,Implements API for retrieval of symbols and other debug artifacts from symbol store.,[],"['C#: 62.2%', 'PowerShell: 21.8%', 'Shell: 14.5%', 'CMake: 1.4%', 'Batchfile: 0.1%']",,34,44,113,1,1
dotnet/source-indexer,This repo contains the code for building http://source.dot.net,[],"['C#: 77.9%', 'TypeScript: 11.3%', 'JavaScript: 4.6%', 'CSS: 3.1%', 'HTML: 2.1%', 'PowerShell: 0.9%', '\n\n\n\nOther\n0.1%\n: Other']",,94,24,35,2,0
dotnet/spa-templates,This repo contains SPA project templates which are part of the ASP.NET Core,[],"['C#: 56.3%', 'JavaScript: 21.4%', 'TypeScript: 17.1%', 'HTML: 4.8%', '\n\n\n\nOther\n0.4%\n: Other']",,12,18,20,6,0
dotnet/machinelearning-samples,"Samples for ML.NET, an open source and cross-platform machine learning framework for .NET.","['machine-learning', 'csharp', 'algorithms', 'dotnet', 'ml']",['PowerShell: 100.0%'],"Dec 20, 2021",301,2.3k,3.5k,26,6
dotnet/test-templates,,[],"['Rich Text Format: 62.0%', 'PowerShell: 17.4%', 'Shell: 11.3%', 'C#: 6.9%', 'CMake: 1.1%', 'Visual Basic .NET: 0.7%', '\n\n\n\nOther\n0.6%\n: Other']","Feb 1, 2022",18,45,21,14,0
dotnet/HttpRepl,"The HTTP Read-Eval-Print Loop (REPL) is a lightweight, cross-platform command-line tool that's supported everywhere .NET Core is supported and is used for making HTTP requests to test ASP.NET Core web APIs and view their results.",[],"['C#: 74.6%', 'PowerShell: 14.7%', 'Shell: 9.7%', '\n\n\n\nOther\n1.0%\n: Other']","Jan 31, 2022",42,53,556,3,22
dotnet/symreader-converter,Converts between Windows PDB and Portable PDB formats.,"['debugging', 'converter', 'pdb', 'crossplatform', 'managed', 'windows-pdb', 'portable-pdb']","['C#: 72.2%', 'PowerShell: 15.8%', 'Shell: 10.3%', '\n\n\n\nOther\n1.7%\n: Other']","May 23, 2017",34,27,35,5,1
dotnet/metadata-tools,"Contains tools for metadata, such as Roslyn's metadata visualizer.","['metadata', 'portable', 'pe-file', 'portable-pdb', 'ecma-335']","['PowerShell: 36.7%', 'C#: 36.4%', 'Shell: 24.3%', 'CMake: 2.4%', 'Batchfile: 0.2%']",,38,23,20,1,0
dotnet/xdt,XDT is Microsoft's Xml Document Transformation library.,[],"['C#: 39.2%', 'PowerShell: 34.4%', 'Shell: 22.1%', 'CMake: 2.2%', '1C Enterprise: 2.0%', 'Batchfile: 0.1%']",,16,21,41,7,0
dotnet/cli-lab,A guided tool will be provided to enable the controlled clean up of a system such that only the desired versions of the Runtime and SDKs remain.,[],"['C#: 67.1%', 'PowerShell: 20.9%', 'Shell: 10.7%', 'CMake: 1.2%', 'Batchfile: 0.1%']","Jan 27, 2022",21,34,299,2,8
dotnet/try,Try .NET provides developers and content authors with tools to create interactive experiences.,"['documentation', 'csharp', 'dotnet', 'interactive-tutorial', 'blazor', 'interactive-programming']","['C#: 51.2%', 'TypeScript: 35.4%', 'PowerShell: 5.6%', 'Shell: 3.3%', 'Smalltalk: 2.5%', 'CSS: 1.1%', '\n\n\n\nOther\n0.9%\n: Other']","Jan 26, 2022",352,446,2.3k,3,1
dotnet/docfx,Static site generator for .NET API documentation.,"['api', 'markdown', 'static-site-generator', 'documentation', 'csharp', 'dotnet']","['C#: 94.2%', 'F#: 2.3%', 'JavaScript: 1.7%', 'CSS: 0.9%', 'PowerShell: 0.7%', 'XSLT: 0.1%', '\n\n\n\nOther\n0.1%\n: Other']","Jan 28, 2022",154,698,2.9k,14,269
dotnet/wpf-test,WPF is a .NET Core UI framework for building Windows desktop applications. wpf-test contains test infrastructure and test collateral for the WPF framework.,['wpf'],"['C#: 97.9%', 'PowerShell: 0.5%', 'XSLT: 0.5%', 'C++: 0.5%', 'Shell: 0.3%', 'Smalltalk: 0.2%', '\n\n\n\nOther\n0.1%\n: Other']",,10,6,17,3,0
dotnet/EntityFramework.ApiDocs,Reference documentation for Entity Framework APIs,[],['PowerShell: 100.0%'],,32,31,10,2,0
dotnet/docs-maui,This repository contains documentation for .NET Multi-platform App UI (MAUI).,"['csharp', 'dotnet']",[],"Jan 28, 2022",10,23,61,14,0
dotnet/Docker.DotNet,🐳 .NET (C#) Client Library for Docker API,[],"['C#: 92.8%', 'Go: 7.2%']","Aug 31, 2021",106,320,1.6k,2,16
dotnet/infer,Infer.NET is a framework for running Bayesian inference in graphical models,"['machine-learning', 'bayesian-inference']","['C#: 99.1%', 'Python: 0.4%', 'F#: 0.2%', 'MATLAB: 0.1%', 'TSQL: 0.1%', 'Java: 0.1%']","Jan 26, 2022",101,203,1.4k,45,11
dotnet/csharp-tmLanguage,Syntax grammar used for C# colorization,[],"['TypeScript: 99.5%', 'JavaScript: 0.5%']",,21,27,46,6,0
dotnet/csharp-notebooks,Get started learning C# with C# notebooks powered by .NET Interactive and VS Code.,[],['Jupyter Notebook: 100.0%'],,15,35,72,2,0
dotnet/pinvoke,A library containing all P/Invoke code so you don't have to import it every time. Maintained and updated to support the latest Windows OS.,"['dotnet', 'pinvoke', 'interop']","['C#: 98.6%', 'PowerShell: 1.4%']","Jan 26, 2022",70,171,1.6k,6,30
dotnet/orleans-docs,Orleans documentation,[],"['Batchfile: 87.3%', 'HTML: 12.7%']",,17,50,16,4,0
dotnet/core,Home repository for .NET Core,"['dotnet', 'dotnet-core']",['Shell: 100.0%'],"Jan 20, 2022",1.3k,4.4k,17k,5,155
dotnet/designs,This repo is used for reviewing new .NET designs.,[],"['C#: 97.8%', 'Shell: 1.5%', 'Batchfile: 0.7%']","Dec 7, 2021",459,144,710,7,0
dotnet/AspNetApiDocs,Reference documentation for ASP.NET Core APIs,[],['PowerShell: 100.0%'],"Nov 10, 2021",66,102,84,8,0
dotnet/ClangSharp,Clang bindings for .NET written in C#,[],"['C#: 92.5%', 'C++: 6.1%', 'C: 0.9%', 'Shell: 0.2%', 'PowerShell: 0.2%', 'CMake: 0.1%']","Dec 2, 2021",34,111,524,1,11
dotnet/Microsoft.Maui.Graphics.Controls,"Experimental Microsoft.Maui.Graphics.Controls - Build drawn controls (Cupertino, Fluent and Material)","['xamarin', 'material', 'dotnet', 'controls', 'hacktoberfest', 'fluent', 'drawn', 'cupertino', 'drawn-controls', 'dotnet-maui']",['C#: 100.0%'],"Jan 20, 2022",26,34,367,12,0
dotnet/vscode-dotnet-runtime,VSCode extension for acquiring .NET Core Tooling,[],"['TypeScript: 89.3%', 'Shell: 5.8%', 'JavaScript: 2.0%', 'PowerShell: 1.9%', '\n\n\n\nOther\n1.0%\n: Other']","Nov 30, 2021",12,65,50,4,16
dotnet/Microsoft.Data.Sqlite.ApiDocs,Docs for Microsoft.Data.Sqlite,[],['PowerShell: 100.0%'],,25,8,2,3,0
dotnet/standard,This repo is building the .NET Standard,[],"['C#: 99.2%', '\n\n\n\nOther\n0.8%\n: Other']","Jan 12, 2022",615,471,3.1k,3,11
dotnet/LLVMSharp,LLVM bindings for .NET Standard written in C# using ClangSharp,"['llvm', 'llvm-bindings']","['C#: 98.6%', '\n\n\n\nOther\n1.4%\n: Other']","Jan 8, 2022",44,79,625,1,0
dotnet/vblang,The home for design of the Visual Basic .NET programming language and runtime library.,['visual-basic'],[],"Jan 7, 2022",89,58,236,2,0
dotnet/versionsweeper,"🎯 LTS (or current) versions - GitHub Action that will run as a scheduled CRON job. Ideally, once every few months or as often as necessary to align with .NET version updates.","['cron', 'csharp', 'dotnet', 'version-check', 'hacktoberfest']","['C#: 99.3%', 'Dockerfile: 0.7%']","Nov 8, 2021",5,4,16,4,9
dotnet/deployment-tools,"This repo contains the code to build the .NET deployment tools and installers for all supported platforms, as well as the sources to .NET deployment tools.",[],"['C#: 47.6%', 'Shell: 17.2%', 'PowerShell: 16.8%', 'CMake: 7.5%', 'C++: 4.5%', 'C: 4.1%', '\n\n\n\nOther\n2.3%\n: Other']",,48,26,65,15,1
dotnet/website-thanks-data,Console app for creating data file for https://thanks.dot.net,"['dotnet', 'dotnet-core']","['C#: 95.2%', 'Dockerfile: 2.6%', 'Shell: 2.2%']",,12,4,2,3,0
dotnet/SyndicationFeedReaderWriter,A .NET Standard Library for reading and writing RSS 2.0 and ATOM 1.0 syndication feeds,[],['C#: 100.0%'],"Nov 13, 2017",27,31,127,3,4
dotnet/jitutils,,[],"['C#: 88.1%', 'C++: 4.6%', 'Shell: 2.4%', 'Batchfile: 2.1%', 'Python: 1.9%', 'C: 0.8%', 'CMake: 0.1%']",,62,49,117,4,0
dotnet/winforms-datavisualization,System.Windows.Forms.DataVisualization provides basic charting for WinForms applications.,[],"['C#: 98.4%', '\n\n\n\nOther\n1.6%\n: Other']",,175,71,115,1,0
dotnet/docs-tools,This repo contains GitHub Actions and other tools that are designed to be invoked on DocFx repositories.,[],"['C#: 91.3%', 'TypeScript: 7.8%', '\n\n\n\nOther\n0.9%\n: Other']",,8,5,3,3,0
dotnet/brand,"This repo serves as a guide and reference to designers, writers, and developers to create consistent, on-brand content for .NET.",[],[],"Dec 8, 2021",16,21,158,1,0
dotnet/CliCommandLineParser,A second-generation parser for the .NET Core command line tools,[],"['C#: 48.3%', 'PowerShell: 29.8%', 'Shell: 19.4%', 'CMake: 1.9%', '\n\n\n\nOther\n0.6%\n: Other']",,25,42,107,5,0
dotnet/insertions-client,,[],['C#: 100.0%'],,8,5,1,2,0
dotnet/xamarin,Xamarin is Microsoft's open source platform for building cross-platform mobile apps with .NET,[],[],,31,3,43,2,0
dotnet/DataGridExtensions,Modular extensions for the WPF DataGrid control,[],['C#: 100.0%'],"Dec 3, 2021",32,71,509,4,35
dotnet/issue-labeler,An issue labeler bot for use in dotnet repositories.,[],['C#: 100.0%'],,247,11,10,6,0
dotnet/org-policy,This repo contains tools and tracks policy violations for the dotnet org.,[],"['C#: 99.9%', 'Batchfile: 0.1%']",,34,10,16,1,0
dotnet/reproducible-builds,Contains the DotNet.ReproducibleBuilds package,[],[],,10,9,94,1,0
dotnet/roslyn-api-docs,API documentation source for the .NET Compiler Platform SDK,[],['PowerShell: 100.0%'],,58,29,30,6,0
dotnet/aspnet-api-versioning,"Provides a set of libraries which add service API versioning to ASP.NET Web API, OData with ASP.NET Web API, and ASP.NET Core.","['aspnetcore', 'aspnet', 'versioning', 'webapi', 'odata', 'versioning-semantics']","['C#: 99.9%', '\n\n\n\nOther\n0.1%\n: Other']","Oct 30, 2021",117,628,2.2k,9,22
dotnet/AzCopyNet,.NET Library to seamlessly leverage AzCopy,"['azure', 'azure-storage', 'azcopy']","['PowerShell: 43.2%', 'Shell: 27.5%', 'C#: 26.6%', 'CMake: 2.6%', 'Batchfile: 0.1%']",,15,7,5,10,0
dotnet/JavaApiDocs,API docs for Java components,[],['PowerShell: 100.0%'],,29,8,2,7,0
dotnet/try-samples,,[],"['C#: 83.0%', 'Jupyter Notebook: 16.3%', '\n\n\n\nOther\n0.7%\n: Other']","Oct 18, 2021",36,358,637,1,19
dotnet/buildtools,Build tools that are necessary for building the .NET Core projects,[],[],,208,258,486,13,5
dotnet/ef6tools,This is the codebase for the Entity Framework 6 and LINQ-To-SQL designers.,[],"['C#: 98.0%', '1C Enterprise: 0.8%', 'Rich Text Format: 0.3%', 'Visual Basic .NET: 0.3%', 'Smalltalk: 0.2%', 'Yacc: 0.2%', '\n\n\n\nOther\n0.2%\n: Other']",,9,2,7,2,0
dotnet/ProjFileTools,Tools for enhanced editing of MSBuild proj files in Visual Studio 2017,[],"['C#: 96.8%', 'Batchfile: 2.4%', 'Groovy: 0.8%']",,26,26,91,1,0
dotnet/nbgv,The repo behind the dotnet/nbgv GitHub Action,[],['TypeScript: 100.0%'],"Nov 22, 2020",4,6,30,2,5
dotnet/maui-samples,".NET 6 preview samples. Not for production use. The main branch tracks the current preview release, and develop tracks the upcoming preview.","['android', 'windows', 'macos', 'ios', 'dotnet', 'hacktoberfest', 'mac-catalyst', 'winui3', 'dotnetmaui']","['C#: 86.8%', 'F#: 13.2%']","Aug 13, 2021",76,134,879,19,6
dotnet/perf-autofiling-issues,A landing place for auto-filed performance issues before they receive triage,[],[],"Jul 26, 2021",4,2,1,1,0
dotnet/datalab,"This repo is for experimentation and exploring new ideas involving ADO.NET, EF Core, and other areas related to .NET data.",[],[],,41,14,116,2,0
dotnet/iot-api-docs,,[],['PowerShell: 100.0%'],,33,6,3,5,0
dotnet/actions-create-pull-request,A GitHub action to create a pull request for changes to your repository in the actions workspace,[],"['TypeScript: 98.2%', 'Shell: 1.6%', 'JavaScript: 0.2%']",,1,207,1,5,86
dotnet/code-analysis,,[],"['JavaScript: 55.5%', 'TypeScript: 44.5%']",,8,2,10,5,0
dotnet/letslearndotnet,Join the 5 million+ .NET developers around the globe with our Let's Learn .NET virtual event series. Join us on Learn TV (http://aka.ms/learntv) for a free two-hour livestream events each month for developers by developers. Let's talk app dev with .NET. Visit http://aka.ms/letslearndotnet to learn more!,[],[],,20,1,1,1,0
dotnet/cssparser,,[],"['C#: 70.7%', 'CSS: 29.3%']",,16,6,7,1,0
dotnet/cli-migrate,,[],"['C#: 88.3%', 'HTML: 4.2%', 'PowerShell: 3.4%', 'Shell: 3.1%', 'CMake: 0.6%', 'JavaScript: 0.1%', '\n\n\n\nOther\n0.3%\n: Other']",,29,16,6,4,0
dotnet/codeformatter,Tool that uses Roslyn to automatically rewrite the source to follow our coding styles,[],"['C#: 99.4%', '\n\n\n\nOther\n0.6%\n: Other']",,226,262,1.2k,4,7
dotnet/msbuild-language-service,A language service for MSBuild files,[],"['PowerShell: 62.9%', 'Shell: 32.1%', 'CMake: 4.5%', '\n\n\n\nOther\n0.5%\n: Other']",,15,8,23,2,0
dotnet/mbmlbook,Sample code for the Model-Based Machine Learning book.,"['machine-learning', 'probabilistic-programming', 'probabilistic-graphical-models', 'probabilistic-models']","['C#: 99.5%', 'HTML: 0.5%']",,30,51,218,3,0
dotnet/JsApiDocs,Reference documentation for ASP.NET Core JavaScript APIs,[],['PowerShell: 100.0%'],,39,4,4,4,0
dotnet/corefxlab,This repo is for experimentation and exploring new ideas that may or may not make it into the main corefx repo.,"['c-sharp', 'dotnet', 'experimentation', 'corefx']","['C#: 97.9%', 'PowerShell: 1.5%', '\n\n\n\nOther\n0.6%\n: Other']",,289,366,1.5k,15,0
dotnet/machinelearning-testdata,,[],['Python: 100.0%'],,25,12,6,6,0
dotnet/llilc,"This repo contains LLILC, an LLVM based compiler for .NET Core. It includes a set of cross-platform .NET code generation tools that enables compilation of MSIL byte code to LLVM supported platforms.",[],"['C++: 80.7%', 'C: 10.2%', 'Python: 4.7%', 'PowerShell: 2.3%', 'CMake: 1.7%', 'Groovy: 0.3%', 'Batchfile: 0.1%']",,149,155,1.5k,4,0
dotnet/new-repo,Recommended template for new .NET Foundation repos,[],[],,26,17,23,1,0
dotnet/fsharp-api-docs,,[],['PowerShell: 100.0%'],,33,7,3,3,0
dotnet/BuildPerformanceTestAssets,Performance test assets,[],"['C#: 73.3%', 'HTML: 26.7%']",,16,4,2,1,0
dotnet/windows-desktop,,[],[],,14,58,72,3,0
dotnet/blazor,Blazor moved to https://github.com/dotnet/aspnetcore,[],"['PowerShell: 40.5%', 'C#: 33.9%', 'Shell: 22.8%', 'CMake: 2.6%', 'Batchfile: 0.2%']","Feb 23, 2021",676,685,9.3k,5,26
dotnet/SourceBrowser,Source browser website generator that powers http://referencesource.microsoft.com and http://source.roslyn.io,[],"['C#: 79.3%', 'TypeScript: 12.2%', 'JavaScript: 4.9%', 'CSS: 2.3%', 'HTML: 1.2%', 'Visual Basic .NET: 0.1%']",,78,163,18,3,0
dotnet/dotnet-cli-archiver,,[],"['C#: 85.3%', 'Shell: 6.5%', 'PowerShell: 6.4%', 'Groovy: 1.5%', 'Batchfile: 0.3%']",,286,9,4,2,0
dotnet/platform-compat,Roslyn analyzer that finds usages of APIs that will throw PlatformNotSupportedException on certain platforms.,"['roslyn', 'netcore', 'netstandard', 'roslyn-analyzer']","['C#: 46.9%', 'PowerShell: 33.2%', 'Shell: 17.3%', 'CMake: 2.4%', 'Batchfile: 0.2%']",,68,42,267,7,2
dotnet/corert,"This repo contains CoreRT, an experimental .NET Core runtime optimized for AOT (ahead of time compilation) scenarios, with the accompanying compiler toolchain.",[],"['C#: 79.3%', 'C++: 14.0%', 'Assembly: 3.3%', 'C: 2.3%', 'Python: 0.3%', 'Shell: 0.3%', '\n\n\n\nOther\n0.5%\n: Other']","Nov 1, 2020",305,520,2.9k,1,1
dotnet/announcements,Subscribe to this repo to be notified of Announcements and changes in .NET Core.,[],[],,3k,36,950,1,0
dotnet/ILMerge,ILMerge is a static linker for .NET Assemblies.,[],['C#: 100.0%'],"Jul 9, 2020",109,131,1k,2,0
dotnet/machinelearning-public-datasets,,[],[],,15,3,5,1,0
dotnet/cli-deps-satellites,,[],"['PowerShell: 85.3%', 'Batchfile: 14.7%']",,14,9,1,3,0
dotnet/corefx-tools,Place to include various misc tools for .NET and .NET Core.,[],"['C#: 98.6%', 'Batchfile: 1.4%']",,139,42,57,1,0
dotnet/windows-sdk-for-google-analytics,"SDK to connect to Google Analytics from Windows Store (UWP) Apps, Windows desktop apps written with .NET, and Xamarin Apps",[],"['C#: 56.2%', 'C++: 41.3%', 'JavaScript: 1.1%', 'Batchfile: 0.7%', 'HTML: 0.4%', 'CSS: 0.2%', 'C: 0.1%']",,37,33,104,1,0
dotnet/dotnet-ci,Repository containing scripting for the dotnet-ci Jenkins instance.,[],"['Groovy: 49.9%', 'PowerShell: 46.8%', 'Shell: 2.6%', '\n\n\n\nOther\n0.7%\n: Other']","May 24, 2016",44,142,84,34,2
dotnet/jsinterop,[ARCHIVED] Provides abstractions and features for interop between .NET and JavaScript code.,[],"['C#: 94.0%', 'TypeScript: 6.0%']",,26,4,26,1,0
dotnet/dotnet.github.io,The source for the dotnet.github.io site,[],"['HTML: 55.2%', 'CSS: 28.9%', 'JavaScript: 15.9%']",,33,49,41,2,0
dotnet/netcorecli-fsc,[DEPRECATED] F# and .NET Core SDK working together,"['sdk', 'fsharp', 'dotnet', 'dotnet-core', 'dotnet-sdk', 'dotnet-cli']","['C#: 87.3%', 'Shell: 5.5%', 'Dockerfile: 3.6%', 'PowerShell: 1.5%', 'F#: 1.2%', 'Groovy: 0.9%']","May 25, 2017",33,28,96,4,13
dotnet/fxdac,fxdac is a tool for expanding our contracts while preserving compatibility with existing contracts and with specific existing platfroms,[],['C#: 100.0%'],,95,5,3,3,0
dotnet/dotnet-template-samples,Samples showing how to create templates using the Template Engine for dotnet new and Visual Studio,['dotnet-template'],"['C#: 88.2%', 'CSS: 10.5%', 'F#: 1.1%', 'JavaScript: 0.2%']","Sep 9, 2017",29,82,258,3,0
dotnet/training-tutorials,Getting started tutorials for C# and ASP.NET,[],"['C#: 96.4%', 'HTML: 3.6%']",,92,184,339,5,0
dotnet/port-to-core,This repo contains portability analysis reports.,[],['HTML: 100.0%'],,51,12,5,1,0
dotnet/orleans-templates,Templates for building Microsoft Orleans based solutions,[],"['C#: 88.0%', 'Visual Basic .NET: 6.9%', 'F#: 5.1%']",,18,12,32,1,0
dotnet/perf-infra,Utilities for performance infrastructure,[],"['Python: 74.7%', 'Groovy: 21.6%', 'Batchfile: 3.7%']",,13,7,2,1,0
dotnet/dotnet-docker-samples,The .NET Core Docker samples have moved to https://github.com/dotnet/dotnet-docker/tree/master/samples,[],"['C#: 97.0%', 'CSS: 2.9%', 'JavaScript: 0.1%']",,65,386,544,3,0
dotnet/dotnet-docker-nightly,This repository has moved to the nightly branch of dotnet/dotnet-docker.,[],"['C#: 78.4%', 'PowerShell: 17.1%', 'Groovy: 4.5%']",,56,30,34,3,0
dotnet/summer-of-code,Google Summer of Code projects under .NET Foundation,[],[],,13,6,9,2,0
dotnet/Connect-Event-In-A-Box,Creative and technical content for Connect() 2017 Event,[],[],,18,14,29,1,0
dotnet/corefx-standup,"CoreFX Contributors standups - dates, topics voting, etc.",[],[],,50,3,15,1,0
dotnet/features,This repository contains the source of the .NET Feature catalog,[],['C#: 100.0%'],,111,8,12,1,0
dotnet/MVPSummitHackathon2016,Samples for the CLI extensibility hackathon for MVP Summit 2016 in Redmond!,"['hackathon', 'csproj', 'cliextensions']","['C#: 96.1%', 'Shell: 2.0%', 'PowerShell: 1.9%']",,14,12,11,1,0
dotnet/portable-class-libraries,Contains the reference assemblies for the various portable class library profiles.,[],[],,18,5,1,1,0
dotnet/coreclr.xunit,xUnit.net runner for CoreCLR unit test projects,[],"['C#: 94.8%', 'PowerShell: 3.5%', 'Shell: 1.7%']",,27,21,16,2,0
dotnet/mcgutils,,[],"['C#: 92.7%', 'Shell: 4.8%', 'Batchfile: 2.5%']",,1,5,1,11,0
dotnet/import-comments,Tool which imports triple-slash comments into .NET Core Std Lib code,[],['C#: 100.0%'],,76,6,8,2,0
dotnet/roslyn-analyzers-contrib,Replaced by dotnet/roslyn-analyzers.,[],[],,52,10,14,1,0
